segment_id,date_local,uptime,pedestrian_lft,pedestrian_rgt,pedestrian_total,bike_lft,bike_rgt,bike_total,car_lft,car_rgt,car_total,heavy_lft,heavy_rgt,heavy_total,v85,car_speed0,car_speed10,car_speed20,car_speed30,car_speed40,car_speed50,car_speed60,car_speed70
9000006244,2024-01-05 15:00,0.861111,7,3,10,1,3,4,220,165,385,123,42,165,32.5,3.01,11.75,53.01,25.3,5.42,0.9,0.6,0.0
9000006244,2024-01-06 07:00,0.25,0,0,0,0,0,0,32,32,64,0,0,0,38.5,31.25,31.25,6.25,12.5,18.75,0.0,0.0,0.0
9000006244,2024-01-06 08:00,0.999722,0,1,1,1,3,4,40,45,85,0,1,1,31.5,2.35,12.94,54.12,27.06,3.53,0.0,0.0,0.0
9000006244,2024-01-06 09:00,0.999167,1,2,3,1,4,5,87,107,194,0,0,0,36.0,0.52,5.15,42.78,44.33,6.7,0.52,0.0,0.0
9000006244,2024-01-06 10:00,0.999722,3,4,7,0,4,4,165,134,299,0,2,2,37.0,0.33,7.02,30.1,50.84,11.71,0.0,0.0,0.0
9000006244,2024-01-06 11:00,0.998889,0,1,1,0,5,5,172,178,350,0,1,1,36.5,0.57,5.43,30.29,53.43,8.86,0.86,0.57,0.0
9000006244,2024-01-06 12:00,0.925833,0,1,1,2,7,9,192,196,387,0,3,3,36.0,0.28,4.75,33.52,52.23,9.22,0.28,0.0,0.0
9000006244,2024-01-06 13:00,0.999722,2,8,10,1,1,2,193,236,429,0,1,1,36.0,0.7,8.39,32.63,49.42,8.16,0.7,0.0,0.0
9000006244,2024-01-06 14:00,0.999167,10,4,14,0,6,6,202,242,444,0,3,3,35.5,0.68,6.31,34.46,50.23,7.21,0.9,0.23,0.0
9000006244,2024-01-06 15:00,0.75,4,8,12,1,4,5,160,217,377,0,3,3,35.0,0.35,8.83,44.88,37.46,7.07,1.41,0.0,0.0
9000006244,2024-01-07 07:00,0.249722,0,0,0,0,0,0,12,12,24,0,0,0,38.0,0.0,33.33,16.67,33.33,16.67,0.0,0.0,0.0
9000006244,2024-01-07 08:00,0.999444,0,2,2,0,1,1,30,48,78,2,0,2,37.5,0.0,7.69,26.92,51.28,10.26,3.85,0.0,0.0
9000006244,2024-01-07 09:00,0.999444,2,1,3,1,1,2,58,81,139,0,1,1,36.5,0.0,3.6,28.78,58.27,8.63,0.72,0.0,0.0
9000006244,2024-01-07 10:00,0.999444,1,1,2,0,1,1,89,118,207,0,3,3,36.5,0.0,6.28,35.27,46.38,11.11,0.97,0.0,0.0
9000006244,2024-01-07 11:00,0.999722,0,3,3,2,3,5,138,116,254,2,1,3,36.5,0.0,5.12,38.58,45.28,9.06,1.57,0.39,0.0
9000006244,2024-01-07 12:00,0.999444,13,5,18,3,4,7,140,138,278,0,3,3,36.0,1.08,6.47,37.41,44.24,10.79,0.0,0.0,0.0
9000006244,2024-01-07 13:00,0.999444,3,4,7,1,3,4,148,139,287,1,2,3,36.0,0.7,9.76,32.4,47.74,8.71,0.7,0.0,0.0
9000006244,2024-01-07 14:00,0.999722,5,0,5,2,2,4,154,177,331,0,2,2,35.0,0.6,8.76,42.3,41.69,6.34,0.3,0.0,0.0
9000006244,2024-01-07 15:00,0.999722,6,3,9,0,4,4,126,157,283,0,6,6,35.5,2.12,12.72,37.46,37.46,9.19,1.06,0.0,0.0
9000006244,2024-01-07 16:00,0.25,4,8,12,4,4,8,48,112,160,0,0,0,32.5,5.0,10.0,52.5,25.0,7.5,0.0,0.0,0.0
9000006244,2024-01-08 07:00,0.25,0,4,4,0,0,0,156,236,392,0,0,0,29.5,0.0,20.41,59.18,17.35,3.06,0.0,0.0,0.0
9000006244,2024-01-08 08:00,0.7775,0,0,0,2,4,6,159,221,380,2,8,11,35.0,1.69,9.15,49.15,31.53,7.12,1.02,0.0,0.0
9000006244,2024-01-08 09:00,0.675556,0,0,0,0,0,0,178,168,346,1,12,13,35.0,4.7,4.7,45.73,34.62,9.83,0.43,0.0,0.0
9000006244,2024-01-08 10:00,1.0,0,4,4,0,2,2,123,144,267,0,8,8,36.0,0.75,4.12,32.96,52.43,8.99,0.37,0.37,0.0
9000006244,2024-01-08 11:00,0.999444,0,0,0,1,5,6,109,161,270,0,6,6,38.5,0.0,5.19,28.89,49.26,14.44,2.22,0.0,0.0
9000006244,2024-01-08 12:00,0.843611,4,2,6,0,0,0,136,165,301,3,13,16,39.0,2.36,3.15,26.38,49.61,17.32,1.18,0.0,0.0
9000006244,2024-01-08 13:00,0.999444,0,3,3,0,3,3,86,171,257,3,6,9,37.5,1.56,4.67,33.46,46.3,12.45,1.17,0.39,0.0
9000006244,2024-01-08 14:00,0.998889,0,0,0,3,2,5,97,223,320,1,2,3,36.0,2.19,7.5,40.31,39.69,8.75,1.56,0.0,0.0
9000006244,2024-01-08 15:00,0.999722,12,6,18,2,9,11,248,208,456,2,4,6,35.0,1.32,6.8,50.22,33.99,7.24,0.44,0.0,0.0
9000006244,2024-01-08 16:00,0.499444,0,0,0,4,4,8,290,266,556,12,2,14,32.0,2.88,19.42,50.36,24.1,3.24,0.0,0.0,0.0
9000006244,2024-01-09 07:00,0.089722,0,0,0,0,11,11,189,167,357,0,0,0,24.5,40.62,28.12,25.0,6.25,0.0,0.0,0.0,0.0
9000006244,2024-01-09 08:00,0.477778,0,2,2,0,6,6,195,182,377,0,5,5,32.5,0.0,5.56,39.44,48.89,5.56,0.0,0.0,0.0
9000006244,2024-01-09 09:00,0.749444,3,3,5,0,1,1,156,189,346,0,1,1,34.5,0.39,8.49,44.02,41.31,5.41,0.39,0.0,0.0
9000006244,2024-01-09 10:00,0.595833,0,0,0,1,0,1,143,124,267,0,5,5,36.5,5.66,6.29,26.42,49.69,10.69,0.63,0.0,0.0
9000006244,2024-01-09 11:00,0.999444,0,1,1,0,1,1,138,161,299,0,10,10,36.0,0.33,3.01,34.45,52.84,7.69,1.34,0.33,0.0
9000006244,2024-01-09 12:00,0.998889,3,4,7,1,6,7,204,158,362,1,11,12,36.5,1.66,4.97,28.18,53.59,11.6,0.0,0.0,0.0
9000006244,2024-01-09 13:00,0.872222,3,1,4,1,3,4,63,169,232,2,10,12,34.5,2.46,12.32,43.35,34.98,6.9,0.0,0.49,0.0
9000006244,2024-01-09 14:00,0.999167,9,9,18,6,5,11,71,191,262,0,1,1,35.0,4.96,7.63,44.66,33.97,7.63,0.76,0.38,0.0
9000006244,2024-01-09 15:00,0.999444,9,4,13,1,6,7,300,213,513,0,3,3,34.5,0.78,5.07,53.22,34.5,5.46,0.58,0.39,0.0
